Nr of Frames	Config	Video	QP	TZSearchConfig	Bit Rate	Y-PSNR	U-PSNR	V-PSNR	Total Time
9	encoder_randomaccess_main.cfg	BQMall	32	1	1913.1733	34.6887	39.4191	40.3415	75.170
9	encoder_randomaccess_main.cfg	BQMall	32	2	1913.1733	34.6887	39.4191	40.3415	75.210
9	encoder_randomaccess_main.cfg	BQMall	32	3	1913.1733	34.6887	39.4191	40.3415	75.150
9	encoder_randomaccess_main.cfg	BQMall	32	4	1913.1733	34.6887	39.4191	40.3415	75.200
9	encoder_randomaccess_main.cfg	BQMall	32	5	1913.1733	34.6887	39.4191	40.3415	75.150
9	encoder_randomaccess_main.cfg	BQMall	32	6	1913.1733	34.6887	39.4191	40.3415	75.160
9	encoder_randomaccess_main.cfg	BQMall	32	7	1913.1733	34.6887	39.4191	40.3415	75.270
9	encoder_randomaccess_main.cfg	BQMall	32	8	1913.1733	34.6887	39.4191	40.3415	74.910
9	encoder_randomaccess_main.cfg	BQMall	32	9	1913.1733	34.6887	39.4191	40.3415	75.130
9	encoder_randomaccess_main.cfg	BQMall	32	10	1913.1733	34.6887	39.4191	40.3415	75.830
9	encoder_randomaccess_main.cfg	BQMall	32	11	1913.1733	34.6887	39.4191	40.3415	75.140
9	encoder_randomaccess_main.cfg	BQMall	32	12	1913.1733	34.6887	39.4191	40.3415	75.260
9	encoder_randomaccess_main.cfg	BQMall	32	13	1913.1733	34.6887	39.4191	40.3415	75.230
9	encoder_randomaccess_main.cfg	BQMall	32	14	1913.1733	34.6887	39.4191	40.3415	75.280
9	encoder_randomaccess_main.cfg	BQMall	32	15	1913.1733	34.6887	39.4191	40.3415	75.360
9	encoder_randomaccess_main.cfg	BQMall	32	16	1913.1733	34.6887	39.4191	40.3415	75.310
9	encoder_randomaccess_main.cfg	BQMall	32	17	1913.1733	34.6887	39.4191	40.3415	75.070
9	encoder_randomaccess_main.cfg	BQMall	32	18	1913.1733	34.6887	39.4191	40.3415	74.660
9	encoder_randomaccess_main.cfg	BQMall	32	19	1913.1733	34.6887	39.4191	40.3415	75.310
9	encoder_randomaccess_main.cfg	BQMall	32	20	1913.1733	34.6887	39.4191	40.3415	75.340
9	encoder_randomaccess_main.cfg	BQMall	32	21	1913.1733	34.6887	39.4191	40.3415	75.300
9	encoder_randomaccess_main.cfg	BQMall	32	22	1913.1733	34.6887	39.4191	40.3415	75.210
9	encoder_randomaccess_main.cfg	BQMall	32	23	1913.1733	34.6887	39.4191	40.3415	75.360
9	encoder_randomaccess_main.cfg	BQMall	32	24	1913.1733	34.6887	39.4191	40.3415	75.100
9	encoder_randomaccess_main.cfg	BQMall	32	25	1913.1733	34.6887	39.4191	40.3415	75.300
9	encoder_randomaccess_main.cfg	BQMall	32	26	1913.1733	34.6887	39.4191	40.3415	75.630
9	encoder_randomaccess_main.cfg	BQMall	32	27	1913.1733	34.6887	39.4191	40.3415	74.990
9	encoder_randomaccess_main.cfg	BQMall	32	28	1913.1733	34.6887	39.4191	40.3415	75.020
9	encoder_randomaccess_main.cfg	BQMall	32	29	1913.1733	34.6887	39.4191	40.3415	75.250
9	encoder_randomaccess_main.cfg	BQMall	32	30	1913.1733	34.6887	39.4191	40.3415	75.100
9	encoder_randomaccess_main.cfg	BQMall	32	31	1913.1733	34.6887	39.4191	40.3415	75.280
9	encoder_randomaccess_main.cfg	BQMall	37	0	1913.1733	34.6887	39.4191	40.3415	75.160
9	encoder_randomaccess_main.cfg	BQMall	37	1	1913.1733	34.6887	39.4191	40.3415	75.380
9	encoder_randomaccess_main.cfg	BQMall	37	2	1913.1733	34.6887	39.4191	40.3415	75.220
9	encoder_randomaccess_main.cfg	BQMall	37	3	1913.1733	34.6887	39.4191	40.3415	75.380
9	encoder_randomaccess_main.cfg	BQMall	37	4	1913.1733	34.6887	39.4191	40.3415	75.140
9	encoder_randomaccess_main.cfg	BQMall	37	5	1913.1733	34.6887	39.4191	40.3415	74.770
9	encoder_randomaccess_main.cfg	BQMall	37	6	1913.1733	34.6887	39.4191	40.3415	75.310
9	encoder_randomaccess_main.cfg	BQMall	37	7	1913.1733	34.6887	39.4191	40.3415	75.320
9	encoder_randomaccess_main.cfg	BQMall	37	8	1913.1733	34.6887	39.4191	40.3415	75.270
9	encoder_randomaccess_main.cfg	BQMall	37	9	1913.1733	34.6887	39.4191	40.3415	75.230
9	encoder_randomaccess_main.cfg	BQMall	37	10	1913.1733	34.6887	39.4191	40.3415	75.390
9	encoder_randomaccess_main.cfg	BQMall	37	11	1913.1733	34.6887	39.4191	40.3415	75.140
9	encoder_randomaccess_main.cfg	BQMall	37	12	1913.1733	34.6887	39.4191	40.3415	75.380
9	encoder_randomaccess_main.cfg	BQMall	37	13	1913.1733	34.6887	39.4191	40.3415	75.220
9	encoder_randomaccess_main.cfg	BQMall	37	14	1913.1733	34.6887	39.4191	40.3415	74.810
9	encoder_randomaccess_main.cfg	BQMall	37	15	1913.1733	34.6887	39.4191	40.3415	75.440
9	encoder_randomaccess_main.cfg	BQMall	37	16	1913.1733	34.6887	39.4191	40.3415	75.350
9	encoder_randomaccess_main.cfg	BQMall	37	17	1913.1733	34.6887	39.4191	40.3415	75.280
9	encoder_randomaccess_main.cfg	BQMall	37	18	1913.1733	34.6887	39.4191	40.3415	75.020
9	encoder_randomaccess_main.cfg	BQMall	37	19	1913.1733	34.6887	39.4191	40.3415	75.190
9	encoder_randomaccess_main.cfg	BQMall	37	20	1913.1733	34.6887	39.4191	40.3415	75.290
9	encoder_randomaccess_main.cfg	BQMall	37	21	1913.1733	34.6887	39.4191	40.3415	75.180
9	encoder_randomaccess_main.cfg	BQMall	37	22	1913.1733	34.6887	39.4191	40.3415	75.230
9	encoder_randomaccess_main.cfg	BQMall	37	23	1913.1733	34.6887	39.4191	40.3415	75.090
9	encoder_randomaccess_main.cfg	BQMall	37	24	1913.1733	34.6887	39.4191	40.3415	74.930
9	encoder_randomaccess_main.cfg	BQMall	37	25	1913.1733	34.6887	39.4191	40.3415	75.310
9	encoder_randomaccess_main.cfg	BQMall	37	26	1913.1733	34.6887	39.4191	40.3415	75.310
9	encoder_randomaccess_main.cfg	BQMall	37	27	1913.1733	34.6887	39.4191	40.3415	75.080
9	encoder_randomaccess_main.cfg	BQMall	37	28	1913.1733	34.6887	39.4191	40.3415	75.280
9	encoder_randomaccess_main.cfg	BQMall	37	29	1913.1733	34.6887	39.4191	40.3415	75.290
9	encoder_randomaccess_main.cfg	BQMall	37	30	1913.1733	34.6887	39.4191	40.3415	75.170
9	encoder_randomaccess_main.cfg	BQMall	37	31	1913.1733	34.6887	39.4191	40.3415	75.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	0	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	1	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	2	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	3	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	4	622.3111	32.5372	36.9334	38.5386	21.200
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	5	622.3111	32.5372	36.9334	38.5386	21.210
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	6	622.3111	32.5372	36.9334	38.5386	21.240
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	7	622.3111	32.5372	36.9334	38.5386	21.220
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	8	622.3111	32.5372	36.9334	38.5386	21.230
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	9	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	10	622.3111	32.5372	36.9334	38.5386	21.220
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	11	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	12	622.3111	32.5372	36.9334	38.5386	21.320
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	13	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	14	622.3111	32.5372	36.9334	38.5386	21.310
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	15	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	16	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	17	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	18	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	19	622.3111	32.5372	36.9334	38.5386	21.240
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	20	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	21	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	22	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	23	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	24	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	25	622.3111	32.5372	36.9334	38.5386	21.230
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	26	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	27	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	28	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	29	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	30	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	32	31	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	0	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	1	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	2	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	3	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	4	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	5	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	6	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	7	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	8	622.3111	32.5372	36.9334	38.5386	21.210
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	9	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	10	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	11	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	12	622.3111	32.5372	36.9334	38.5386	21.310
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	13	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	14	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	15	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	16	622.3111	32.5372	36.9334	38.5386	21.240
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	17	622.3111	32.5372	36.9334	38.5386	21.310
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	18	622.3111	32.5372	36.9334	38.5386	21.300
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	19	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	20	622.3111	32.5372	36.9334	38.5386	21.250
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	21	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	22	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	23	622.3111	32.5372	36.9334	38.5386	21.340
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	24	622.3111	32.5372	36.9334	38.5386	21.280
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	25	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	26	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	27	622.3111	32.5372	36.9334	38.5386	21.320
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	28	622.3111	32.5372	36.9334	38.5386	21.260
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	29	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	30	622.3111	32.5372	36.9334	38.5386	21.290
9	encoder_randomaccess_main.cfg	BlowingBubbles	37	31	622.3111	32.5372	36.9334	38.5386	21.270
9	encoder_lowdelay_main.cfg	Traffic	32	0	5475.2533	36.2625	38.0818	40.3342	959.040
